text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
injun,injun,,,racial / ethnic slurs,,,2.4,Strong
j-offs,jerk off,,,sexual anatomy / sexual acts,,,1.4,Mild
j3rk,jerk,,,other / general insult,,,1,Mild
ja!lbait,jailbait,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
ja1lbait,jailbait,,,physical attributes,,,1,Mild
Jack off,jackoff,,,sexual anatomy / sexual acts,,,1.4,Mild
jack-off,jack off,,,sexual anatomy / sexual acts,,,1.2,Mild
jack-offs,jack off,,,sexual anatomy / sexual acts,,,1.4,Mild
jackarse,arse,,,sexual anatomy / sexual acts,,,1,Mild
jackass,ass,,,animal references,other / general insult,,1,Mild
jackasses,ass,,,sexual anatomy / sexual acts,,,1,Mild
jackasss,ass,,,animal references,,,1.2,Mild
jackoff,jack off,,,sexual anatomy / sexual acts,,,2,Strong
jackoffs,jack off,,,sexual anatomy / sexual acts,,,1.2,Mild
jackoffz,jack off,,,sexual anatomy / sexual acts,,,1.6,Strong
jagoff,jack off,,,sexual anatomy / sexual acts,,,1,Mild
jailba!t,jailbait,,,physical attributes,,,1.6,Strong
jailbait,jailbait,,,sexual anatomy / sexual acts,,,1,Mild
jap,jap,,,racial / ethnic slurs,,,2.8,Severe
jerk off,jerk off,,,sexual anatomy / sexual acts,,,1,Mild
jerk-0ff,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild
jerk-0ffs,jerk off,,,sexual anatomy / sexual acts,,,1.4,Mild
jerk-off,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild
jerk-offs,jerk off,,,sexual anatomy / sexual acts,,,1,Mild
jerking off,jerk off,,,sexual anatomy / sexual acts,,,1,Mild
jerkoff,jerk off,,,sexual anatomy / sexual acts,,,1.6,Strong
jerkoff jerking off,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild
jerkoffs,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild
jerks off,jerk off,,,sexual anatomy / sexual acts,,,1.4,Mild
jewboy,jew,,,racial / ethnic slurs,,,2.8,Severe
jigaboo,jiggaboo,,,racial / ethnic slurs,,,2.4,Strong
jigaboos,jiggaboo,,,racial / ethnic slurs,,,2.8,Severe
jigga,jiggaboo,nigger,,racial / ethnic slurs,,,2.4,Strong
jiggaboo,jiggaboo,,,racial / ethnic slurs,,,3,Severe
jiggabooboo,jiggaboo,,,racial / ethnic slurs,,,2.4,Strong
jiggaboos,jiggaboo,,,racial / ethnic slurs,,,3,Severe
jiggabu,jiggaboo,,,racial / ethnic slurs,,,3,Severe
jiggas,jiggaboo,,,racial / ethnic slurs,,,2.8,Severe
jigger,jiggaboo,nigger,,racial / ethnic slurs,,,3,Severe
jiggerboo,jiggaboo,,,racial / ethnic slurs,,,2.6,Severe
jiggerboos,jiggaboo,,,racial / ethnic slurs,,,3,Severe
jiggs,jiggaboo,,,racial / ethnic slurs,,,2.6,Severe
jiggyboo,jiggaboo,,,racial / ethnic slurs,,,3,Severe
jigro,jiggaboo,nigger,,racial / ethnic slurs,,,2.8,Severe
jim crow,jim crow,,,racial / ethnic slurs,other / general insult,,1.4,Mild
jizz,jizz,,,bodily fluids / excrement,,,1.6,Strong
jizz eater,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
jizz licker,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
jizz-jockey,jizz,,,bodily fluids / excrement,,,2.2,Strong
jizzbags,jizz,,,bodily fluids / excrement,,,2.4,Strong
jizzed,jizz,,,bodily fluids / excrement,,,2,Strong
jizzes,jizz,,,bodily fluids / excrement,,,2.2,Strong
jizzfucker,fuck,jizz,,bodily fluids / excrement,sexual anatomy / sexual acts,,2.6,Severe
jizzing,jizz,,,bodily fluids / excrement,,,1.6,Strong
jizzsacks,jizz,,,sexual anatomy / sexual acts,,,1.8,Strong
jizzstain,jizz,,,bodily fluids / excrement,,,2.8,Severe
jizzy,jizz,,,bodily fluids / excrement,,,1.6,Strong
k!k3,kike,,,racial / ethnic slurs,,,2.6,Severe
k!ke,kike,,,racial / ethnic slurs,,,3,Severe
k..!ke,kike,,,racial / ethnic slurs,,,3,Severe
k1k3,kike,,,racial / ethnic slurs,,,3,Severe
k1ke,kike,,,racial / ethnic slurs,,,2.8,Severe
kid diddler,diddle,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
kiddy touch,kidtoucher,,,sexual anatomy / sexual acts,,,1.8,Strong
kike,kike,,,racial / ethnic slurs,,,3,Severe
kikes,kike,,,racial / ethnic slurs,,,3,Severe
kiss ass,ass,,,sexual anatomy / sexual acts,,,1,Mild
kiss my ass,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
kitty puncher,kitty puncher,,,sexual anatomy / sexual acts,,,2.2,Strong
kkk,kkk,,,other / general insult,,,1.8,Strong
klan,klan,,,racial / ethnic slurs,,,1.8,Strong
klitoris,clit,,,sexual anatomy / sexual acts,,,1,Mild
kneegrows,negro,,,racial / ethnic slurs,,,2.8,Severe
knickers,nigger,,,racial / ethnic slurs,,,1.8,Strong
knob,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
knob eater,knob,,,sexual anatomy / sexual acts,,,2.2,Strong
knob gobbler,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
knob jockey,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
knob-face,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
knob-gobbler,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
knob-head,knob,,,sexual anatomy / sexual acts,,,2,Strong
knob3d,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
knob3nd,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
knobd,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
knobe,knob,,,sexual anatomy / sexual acts,,,1,Mild
knobead,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
knobeads,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
knobed,knob,,,sexual anatomy / sexual acts,other / general insult,,1.4,Mild
knobeds,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
knobend,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
knobender,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
knobends,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
knobendy,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
knobendz,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
knober,knob,,,sexual anatomy / sexual acts,,,1,Mild
knobes,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
knobgobbler,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
knobhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
knobheads,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
knobjockies,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
knobjocky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
knobjokey,knob,,,sexual orientation / gender,,,2.6,Severe
knobjokeys,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
ku kluxer,ku kluxer,,,racial / ethnic slurs,,,2.6,Severe
kyke,kike,,,racial / ethnic slurs,,,3,Severe
l@dyb0i,ladyboy,,,sexual orientation / gender,,,2.2,Strong
l@dyb0y,ladyboy,,,sexual orientation / gender,,,2,Strong
l@dyboy,ladyboy,,,sexual orientation / gender,,,2,Strong
l3i + ch,bitch,,,sexual orientation / gender,,,1.2,Mild
l3i+ch,bitch,,,sexual orientation / gender,,,1.2,Mild
l3itch,bitch,,,sexual orientation / gender,,,1.4,Mild
l3itches,bitch,,,sexual orientation / gender,,,1.2,Mild
ladboys,ladyboy,,,sexual orientation / gender,,,1.4,Mild
ladboyz,ladyboy,,,sexual orientation / gender,,,1.4,Mild
ladiboy,ladyboy,,,sexual orientation / gender,,,2.2,Strong
lady-boy,ladyboy,,,sexual orientation / gender,,,2.6,Severe
ladyb0i,ladyboy,,,sexual orientation / gender,,,2.2,Strong
ladyb0y,ladyboy,,,sexual orientation / gender,,,2.4,Strong
ladyboy,ladyboy,,,sexual orientation / gender,,,2.2,Strong
ladyboys,ladyboy,,,sexual orientation / gender,,,2.4,Strong
ladyboyz,ladyboy,,,sexual orientation / gender,,,1.4,Mild
lesbo,lesbian,,,sexual orientation / gender,,,2.2,Strong
loose woman,loose,,,sexual orientation / gender,,,1.4,Mild
m@asterbated,masturbate,,,sexual anatomy / sexual acts,,,1.4,Mild
m@derfaker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
m@derfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
m@derfuckers,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
m0f0,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
m0f0s,motherfucker,,,other / general insult,,,2.4,Strong
m0fo,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
m0foes,motherfucker,,,other / general insult,,,2.2,Strong
m0fos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
m0ng0l0id,mongoloid,,,mental disability,racial / ethnic slurs,,2.2,Strong
m0ngoloid,mongoloid,,,racial / ethnic slurs,,,2.2,Strong
m0thafucked,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
m0thafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
m0thafucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
m0therfuckeds,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
m0therfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
m0therfucking,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
m0therfvcker,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
man chowder,man chowder,,,bodily fluids / excrement,,,1,Mild
man meat,meat,,,sexual anatomy / sexual acts,,,1.2,Mild
man seed,man seed,,,bodily fluids / excrement,,,1,Mild
markasses,ass,,,sexual anatomy / sexual acts,,,2,Strong
meat curtains,meat curtains,,,sexual anatomy / sexual acts,,,2,Strong
meat-sword,meat,,,sexual anatomy / sexual acts,,,1.2,Mild
mecha fag,faggot,,,sexual orientation / gender,,,3,Severe
mega fag,faggot,,,sexual orientation / gender,,,2.8,Severe
mf'er,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
mf'ers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mf'ing,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
mfckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
MFer,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong
MFers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mfing,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong
mfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong
mfs,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong
mfukk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
milf,milf,,,sexual anatomy / sexual acts,,,1.8,Strong
mindfuck,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong
mof0es,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
mof0s,motherfucker,,,other / general insult,,,2.6,Severe
mofcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mofo,motherfucker,,,sexual anatomy / sexual acts,,,2,Strong
mofo ass,motherfucker,ass,,sexual anatomy / sexual acts,,,2.4,Strong
mofoes,motherfucker,,,other / general insult,,,2,Strong
mofos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
mofoshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
mofuccers,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
mofucckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
mofuck,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
mofucker,motherfucker,,,other / general insult,,,2,Strong
mofuckkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
mofuk,motherfucker,,,other / general insult,,,2.2,Strong
mofukkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
molester,molest,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
mong,mong,,,racial / ethnic slurs,,,1.8,Strong
mongoloid,mongoloid,,,racial / ethnic slurs,,,2.2,Strong
mongrel,mongrel,,,racial / ethnic slurs,,,2.6,Severe
motha fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motha fucker,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
motha fuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mothaf@cked,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mothafcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mothafcking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
Mothafucc,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mothafucced,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mothafuccer,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mothafuccing,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mothafuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mothafucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mothafuckas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mothafuckasses,motherfucker,ass,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mothafuckaz,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mothafuckazzes,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mothafucked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mothafuckeds,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
mothafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mothafuckers,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mothafuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mothafucking,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mothafuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mothafuckins,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mothafucks,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
mothafuckz,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mothafvcked,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
mother effer,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong
mother fuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mother fuck you,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mother fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mother fucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mother fuckers,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mother fucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mothercker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
motherf@kka,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
motherfacking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
motherfcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfckin,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfcking,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfcks,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfckshit,motherfucker,shit,,sexual anatomy / sexual acts,other / general insult,bodily fluids / excrement,2.8,Severe
motherfecka,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
motherfecker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
motherfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfucca,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfuccas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfuccers,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
motherfucked,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfuckeds,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckingshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe
motherfuckins,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfuckkas,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfuckkers,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfucks,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
motherfukka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfukkings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfvck,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
motherfvcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfvckeds,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
motherfvcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfvckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfvcking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfxck,motherfucker,,,other / general insult,,,2.4,Strong
motherfxcking,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mothfck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mothter fuck,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mtherfuker,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mthrfcker,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
muddafukkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mudderfuk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
mudderfukker,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mufdive,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
mufdivin,muff,,,sexual anatomy / sexual acts,,,2.8,Severe
muff,muff,,,sexual anatomy / sexual acts,,,1.4,Mild
muffdiving,muff,,,sexual anatomy / sexual acts,,,2,Strong
muffdivings,muff,,,sexual anatomy / sexual acts,,,2.2,Strong
muffindivin,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
muffindiving,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
muhfucking,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
mushroom tip,mushroom tip,,,sexual anatomy / sexual acts,,,1.4,Mild
mutha fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mutha fucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
muthafecker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
muthafeckers,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
muthafucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
muthafuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
muthafuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
muthafuckker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
muthafuckkers,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
muthafukka,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mutherfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mutherfuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
n0bhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
n0bj0cky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
n1ckker,nigger,,,racial / ethnic slurs,,,2.8,Severe
n1g3r,nigger,,,racial / ethnic slurs,,,3,Severe
n1g3rz,nigger,,,racial / ethnic slurs,,,3,Severe
n1gg@,nigger,,,racial / ethnic slurs,,,3,Severe
n1gg@hs,niggger,,,racial / ethnic slurs,,,2.8,Severe
n1gg3r,nigger,,,racial / ethnic slurs,,,3,Severe
n1gg3rs,nigger,,,racial / ethnic slurs,,,3,Severe
n1gga,nigger,,,racial / ethnic slurs,,,2.4,Strong
n1ggah,nigger,,,racial / ethnic slurs,,,2.8,Severe
n1ggahs,niggers,,,racial / ethnic slurs,,,3,Severe
n1ggas,nigger,,,racial / ethnic slurs,,,3,Severe
n1ggazes,nigger,,,racial / ethnic slurs,,,3,Severe
n1gger,nigger,,,racial / ethnic slurs,,,3,Severe
n1ggers,nigger,,,racial / ethnic slurs,,,3,Severe
n1gguh,nigger,,,racial / ethnic slurs,,,2.8,Severe
n3gro,negro,,,racial / ethnic slurs,,,2.4,Strong
negga,nigger,,,racial / ethnic slurs,,,2.8,Severe
neggar,nigger,,,racial / ethnic slurs,,,2.8,Severe
negr0,negro,,,racial / ethnic slurs,,,2.8,Severe
negro,negro,,,racial / ethnic slurs,,,2,Strong
negroes,negro,,,racial / ethnic slurs,,,2.6,Severe
negroid,negro,,,racial / ethnic slurs,,,2.6,Severe
niccer,nigger,,,racial / ethnic slurs,,,2.6,Severe
nicka,nigger,,,racial / ethnic slurs,,,2.6,Severe
nickas,nigger,,,racial / ethnic slurs,,,2.8,Severe
nicker,nigger,,,racial / ethnic slurs,,,3,Severe
nickk3r,nigger,,,racial / ethnic slurs,,,3,Severe
nickker,nigger,,,racial / ethnic slurs,,,3,Severe
nig,nigger,,,racial / ethnic slurs,,,3,Severe
nig-nog,nigger,,,racial / ethnic slurs,,,2.8,Severe
niga,nigger,,,racial / ethnic slurs,,,2.6,Severe
nigah,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigasses,nigger,ass,,racial / ethnic slurs,,,3,Severe
nigers,nigger,,,racial / ethnic slurs,,,3,Severe
nigg@,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg@hs,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg@s,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg@z,nigger,,,racial / ethnic slurs,,,2.6,Severe
nigg@zzes,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg3r,nigger,,,racial / ethnic slurs,,,3,Severe
nigg3rs,nigger,,,racial / ethnic slurs,,,3,Severe
nigg4h,nigger,,,racial / ethnic slurs,,,3,Severe
nigg4hs,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigga,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigga lover,nigger,,,racial / ethnic slurs,,,3,Severe
niggah,nigger,,,racial / ethnic slurs,,,2.8,Severe
niggahs,nigger,,,racial / ethnic slurs,,,2.2,Strong
niggahz,nigger,,,racial / ethnic slurs,,,3,Severe
niggas,nigger,,,racial / ethnic slurs,,,2.8,Severe
niggass,nigger,ass,,racial / ethnic slurs,,,2.6,Severe
niggaz,nigger,,,racial / ethnic slurs,,,2.2,Strong
niggazzes,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigger,nigger,,,racial / ethnic slurs,,,3,Severe
nigger lover,nigger,,,racial / ethnic slurs,sexual anatomy / sexual acts,,3,Severe
niggers,nigger,,,racial / ethnic slurs,,,3,Severe
niggerz,nigger,,,racial / ethnic slurs,,,3,Severe
niggir,nigger,,,racial / ethnic slurs,,,3,Severe
niggress,nigger,,,racial / ethnic slurs,,,3,Severe
nigguh,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigguhs,nigger,,,racial / ethnic slurs,,,3,Severe
nigguhz,nigger,,,racial / ethnic slurs,,,3,Severe
niglet,nigger,,,racial / ethnic slurs,,,3,Severe
nignigs,nigger,,,racial / ethnic slurs,,,3,Severe
nignog,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigra,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigre,nigger,nigga,,racial / ethnic slurs,,,3,Severe
nigs,nigger,,,racial / ethnic slurs,,,2.8,Severe
niguh,nigger,,,racial / ethnic slurs,,,2.8,Severe
nikk3r,nigger,,,racial / ethnic slurs,,,3,Severe
nikkas,nigger,,,racial / ethnic slurs,,,3,Severe
nikker,nigger,,,racial / ethnic slurs,,,2.8,Severe
nip,nipple,,,sexual anatomy / sexual acts,,,2,Strong
nob jockey,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
nob jokeys,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
nobbyhead,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
nobhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
nobheads,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
nobj0key,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
nobjockies,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
nobjocky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
nobjokey,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2,Strong
nobjokeys,knob,,,sexual orientation / gender,,,1.8,Strong
nobs,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
nonce,nonce,,,other / general insult,,,1.4,Mild
nuckas,nigger,,,racial / ethnic slurs,,,2.6,Severe
nuggets,nigger,,,racial / ethnic slurs,bodily fluids / excrement,,1.2,Mild
nut butter,nut butter,,,bodily fluids / excrement,,,1.4,Mild
nutsack,nutsack,,,sexual anatomy / sexual acts,,,1.8,Strong
nutsacks,nutsack,,,sexual anatomy / sexual acts,,,1.6,Strong
nympho,nymph,,,sexual anatomy / sexual acts,sexual orientation / gender,,1,Mild
nymphomaniac,nymph,,,other / general insult,,,1.4,Mild
octopussy,pussy,,,sexual anatomy / sexual acts,,,1.2,Mild
oven dodger,oven dodger,,,racial / ethnic slurs,,,2,Strong
p3n1shead,penis,,,sexual anatomy / sexual acts,,,1.8,Strong
p3nisfcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
p3nisfcukers,fuck,penis,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
p3nisfvcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
p3nisfvckers,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
pack my fudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
packerfudgehead,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
